word,occurence
braver,4
rage,4
headmaster,4
decide,4
quill,4
folk,4
rats,4
knowin,4
myst,4
lookin,4
makes,4
kick,4
poking,4
tapping,4
fluttered,4
school.,4
shame,4
manage,4
fudge,4
transfiguration,4
herbs,4
fungi,4
drinking,4
pipe,4
barman,4
against,4
archway,4
brightly,4
cauldrons,4
plump,4
bat,4
floors,4
counter,4
flaming,4
impossible,4
rattling,4
deeper,4
gon,4
blinking,4
galleons,4
hullo,4
lives,4
ends,4
one.,4
mixture,4
rustling,4
beautiful,4
those,4
silvery,4
reflected,4
softly,4
foolish,4
snatched,4
packages,4
bite,4
lift,4
excited,4
dry,4
freckles,4
ron.,4
control,4
trunks,4
search,4
hairy,4
black-haired,4
rounded,4
flashed,4
flick,4
bertie,4
bott,4
pumpkin,4
sandwiches,4
amazed,4
tore,4
century,4
slytherin.,4
romania,4
studying,4
mentioned,4
recognised,4
interest,4
extremely,4
eaten,4
among,4
glared,4
nerves,4
gliding,4
banquet,4
sorted,4
forgive,4
friar,4
answered,4
rabbit,4
hufflepuffs,4
learning,4
will,4
unpleasant,4
chosen,4
doubt,4
plate,4
peas,4
delicious,4
nick,4
offered,4
deeply,4
third-floor,4
serious,4
our,4
armchairs,4
spiral,4
curtains,4
struggled,4
pass,4
drop,4
threatening,4
movements,4
sprout,4
taught,4
toppled,4
rare,4
owlery,4
pairs,4
idiot,4
gryffindor.,4
emptied,4
quicker,4
sticking,4
streaked,4
fault,4
dreams,4
player,4
dressing-gown,4
something.,4
squinting,4
petrified,4
suit,4
backwards,4
flushed,4
obvious,4
wherever,4
protect,4
fluttering,4
months,4
dying,4
toilets,4
immediately,4
foul,4
hearts,4
desperately,4
bursting,4
lie,4
unfortunately,4
ajar,4
angelina,4
johnson,4
blocked,4
cheering,4
roughly,4
recent,4
wine,4
suspected,4
wards,4
distant,4
hooded,4
breathe,4
cover,4
centaurs,4
cursed,4
queen,4
award,4
escaping,3
sunday,3
form,3
children,3
surprises,3
available,3
series,3
secrets,3
ancient,3
published,3
1997,3
square,3
copyright,3
council,3
fsc,3
group,3
stories,3
loved,3
error,3
line16,3
picture,3
selves,3
ch14,3
spying,3
pretended,3
shuddered,3
child,3
tuesday,3
starts,3
country,3
hummed,3
boring,3
screaming,3
kiss,3
tantrum,3
backed,3
trick,3
driven,3
traffic,3
jam,3
emerald-green,3
silly,3
concentrate,3
most,3
eyed,3
whispering,3
dashed,3
stroked,3
worrying,3
building,3
violet,3
hugged,3
markings,3
determined,3
wife,3
ner,3
normally,3
behaving,3
acting,3
promised,3
wet,3
armchair,3
lately,3
dared,3
horribly,3
subject,3
quiver,3
half-moon,3
flicked,3
put-outer,3
dis-,3
happening,3
seeing,3
emerald,3
drawn,3
ruffled,3
brick,3
dozen,3
impatiently,3
irritably,3
glance,3
you-,3
surely,3
calmly,3
trembled,3
handkerchief,3
examined,3
sense,3
jumping,3
firmly,3
wise,3
rumbling,3
roar,3
bushy,3
dustbin,3
leather,3
vast,3
borrowed,3
climbing,3
destroyed,3
shaped,3
sad,3
grip,3
patting,3
laid,3
tucked,3
muffled,3
engine,3
swish,3
slept,3
scream,3
cousin,3
longer,3
blond,3
demanded,3
living,3
smaller,3
wear,3
bigger,3
knobbly,3
counting,3
present,3
cine-camera,3
leap,3
holiday,3
blow,3
wailed,3
backs,3
problem,3
ber,3
kitchens,3
chasing,3
bank,3
roaring,3
gigantic,3
ideas,3
ice,3
licking,3
bored,3
hitting,3
lunch,3
reptile,3
cool,3
ordered,3
tank,3
brazil,3
deafening,3
ribs,3
swiftly,3
strong,3
bitten,3
risk,3
strained,3
buying,3
shaken,3
escape,3
visited,3
biggest,3
sport,3
july,3
gruffly,3
metal,3
letter-box,3
dudley.,3
postcard,3
belong,3
yellowish,3
address,3
lion,3
eagle,3
within,3
reach,3
croaked,3
keyhole,3
dangling,3
ignore,3
painful,3
shelf,3
bitterly,3
stole,3
tearing,3
deliver,3
fireplace,3
waist,3
wrenched,3
mutter,3
hotel,3
field,3
monday,3
wicked,3
freezing,3
slipping,3
sliding,3
whistled,3
rooms,3
reaching,3
cannon,3
pause,3
frame,3
lump,3
las,3
mighta,3
meself,3
rubeus,3
rubbing,3
flickering,3
sunk,3
copper,3
kettle,3
teapot,3
sausage,3
wiped,3
shrank,3
bewildered,3
forbid,3
equipment,3
reminds,3
beak,3
swore,3
everythin,3
incredible,3
sayin,3
takin,3
village,3
sadly,3
ruined,3
glaring,3
fists,3
battered,3
failed,3
too,3
goin,3
stumped,3
grateful,3
swishing,3
trousers,3
do.,3
eyebrows,3
keen,3
sunlight,3
balloon,3
wave,3
humbugs,3
bags,3
sleepily,3
mess,3
proudly,3
guardin,3
vaults,3
daily,3
prophet,3
askin,3
folded,3
fantastic,3
beasts,3
pewter,3
scales,3
slow,3
nowhere,3
buried,3
sold,3
women,3
soul,3
puffing,3
realising,3
scraping,3
chairs,3
doris,3
crockford,3
remembers,3
twitching,3
vampires,3
babble,3
first-,3
first.,3
apothecary,3
sickles,3
screech,3
moon,3
towered,3
clever,3
enter,3
earn,3
weighing,3
stones,3
closely,3
handing,3
sloped,3
tracks,3
difficulty,3
fork,3
passage,3
plunged,3
cost,3
colder,3
grubby,3
robe,3
liking,3
tries,3
setting,3
bed.,3
sneer,3
cheered,3
colour,3
played,3
silk,3
enemies,3
ingredients,3
ers,3
animal,3
ollivanders,3
spindly,3
strict,3
gloom,3
potter.,3
charm,3
favoured,3
misty,3
finger,3
gripped,3
tape,3
measure,3
feathers,3
unicorns,3
results,3
crumpled,3
tricky,3
spots,3
whose,3
paid,3
month,3
mice,3
ticked,3
ruddy,3
talked,3
pushing,3
oldest,3
dear.,3
joking,3
jostled,3
wound,3
sigh,3
poked,3
sweaty,3
mum.,3
badge,3
you-know-,3
gathered,3
glanced,3
blurted,3
moments,3
gloomy,3
deal,3
fields,3
pasties,3
pasty,3
collect,3
modern,3
alchemy,3
partner,3
flavour,3
bean,3
miserably,3
bothered,3
toadless,3
simple,3
rise,3
events,3
sounds,3
flopped,3
both,3
coolly,3
disap-,3
mountains,3
echoed,3
beamed,3
steep,3
bend,3
fleet,3
smooth,3
cliff,3
under-,3
trevor,3
shadow,3
fist,3
begin,3
ceremony,3
awarded,3
whichever,3
test,3
glided,3
ruff,3
returned,3
double,3
candles,3
upwards,3
heavens,3
sing,3
daring,3
song,3
wrestling,3
hannah,3
definitely,3
earlier,3
potatoes,3
chicken,3
interrupted,3
chat,3
championship,3
puddings,3
treacle,3
algie,3
ankles,3
sleepy,3
ouch,3
look-,3
snape.,3
start-of-term,3
frowning,3
smiles,3
pick,3
singing,3
yawning,3
dropping,3
coats,3
here,3
password,3
sweeping,3
chalk,3
wheezing,3
wednesday,3
binns,3
defence,3
fought,3
stuffed,3
effort,3
powdered,3
curled,3
bezoar,3
stretching,3
dungeon,3
over,3
boils,3
clouds,3
add,3
struggling,3
break-in,3
refuse,3
turns,3
distance,3
broom-,3
rows,3
rising,3
sooner,3
parvati,3
trouble.,3
cursing,3
delight,3
pie,3
away.,3
off.,3
please.,3
nightmare,3
space,3
mistaking,3
growls,3
cared,3
sixty,3
confusion,3
stolen,3
good.,3
bolted,3
jet,3
beaters,3
jaws,3
fourth,3
seekers,3
movement,3
skywards,3
wingardium,3
leviosa,3
slumped,3
lip,3
choice,3
its,3
shouting,3
rear,3
staff,3
anything.,3
strength,3
banner,3
drawing,3
men,3
refereeing,3
fifteen,3
spinnet,3
pucey,3
raising,3
penalty,3
frightening,3
sobbing,3
snow,3
battle,3
family.,3
pince,3
belonged,3
torn,3
gleaming,3
turkey,3
recognise,3
ronald,3
pillow,3
referee,3
choked,3
dashing,3
pure,3
much.,3
choose,3
beast,3
relax,3
fluffy.,3
die.,3
tallest,3
love,3
hoarse,3
astronomy,3
especially,3
lowered,3
humans,3
bishop,3
squares,3
mercy,3
poison,3
logic,3
stone.,3
bravery,3
seize,3
points.,3
unbearable,2
sinister,2
valuable,2
...,2
has,2
classic,2
complex,2
jokes,2
prisoner,2
azkaban,2
prince,2
welsh,2
greek,2
otherwise,2
bloomsbury,2
plc,2
characters,2
related,2
author,2
printed,2
stewardship,2
holds,2
sgs-coc-2061,2
sources,2
forests,2
corrections,2
epub,2
print,2
corrected,2
ch6,2
p77,2
ch9,2
ch12,2
ch13,2
nag.,2
try-,2
p169,2
ch17,2
acci-,2
spreading,2
director,2
firm,2
grunnings,2
blonde,2
craning,2
neighbours,2
finer,2
mixing,2
dull,2
cloudy,2
hap-,2
tawny,2
flutter,2
tyke,2
chortled,2
fashion,2
steering,2
huddle,2
weirdos,2
collecting,2
park,2
broad,2
calls,2
lunch-time,2
bun,2
baker,2
uneasy,2
disturb,2
nephew,2
contrary,2
passers-by,2
rooted,2
imagination,2
improve,2
din-,2
shan,2
nation,2
unusually,2
unable,2
jim,2
oddly,2
kent,2
yorkshire,2
promise,2
frozen,2
cups,2
stiffly,2
sinking,2
comforting,2
yawned,2
unblinkingly,2
popped,2
narrowed,2
swept,2
spectacles,2
crooked,2
rummaging,2
amuse,2
lighter,2
flickered,2
stiff,2
feasts,2
parties,2
precious,2
celebrate,2
downright,2
careless,2
streets,2
know-who,2
fond,2
of.,2
lemons,2
persuade,2
voldemort.,2
confusing,2
noble,2
blushed,2
rumours,2
anxious,2
choosing,2
dead.,2
patted,2
heaven,2
sniff,2
numbers,2
letter.,2
faintly,2
future,2
seriously,2
impor-,2
tant,2
swelled,2
hid,2
visible,2
ever.,2
couldn,2
scars,2
shaggy,2
handker-,2
chief,2
doorstep,2
twinkling,2
streaming,2
glowed,2
heel,2
breeze,2
tidy,2
spend,2
